Game,Manufacturer,Platform,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestOfWorld,Global
Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen,Nintendo,GBA,2004,Adventure,Nintendo,0,0,0.08,0,0.08
Famicom Mini: Mario Bros.,Nintendo,GBA,2004,Platform,Nintendo,0,0,0.08,0,0.08
Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,Nintendo,GBA,2004,Strategy,Nintendo,0,0,0.08,0,0.08
Famicom Mini: Star Soldier,Nintendo,GBA,2004,Shooter,Nintendo,0,0,0.08,0,0.08
Mario vs. Donkey Kong: Tipping Stars,Nintendo,3DS,2015,Puzzle,Nintendo,0,0,0.08,0,0.08
Touch Mechanic,Nintendo,DS,2008,Simulation,Nintendo,0.08,0,0,0.01,0.08
Kobitodzukan: Kobito no Fushigi - Jikken Set,Nintendo,3DS,2013,Misc,Nippon,0,0,0.08,0,0.08
New Danganronpa V3: Minna no Koroshiai Shin Gakki,Sony,PS4,2017,Adventure,Nippon,0,0,0.08,0,0.08
Criminal Girls: Invite Only,Sony,PSP,2010,Role-Playing,Nippon,0,0,0.08,0,0.08
Lost Dimension,Sony,PS3,2014,Role-Playing,Nippon,0.06,0.01,0,0.01,0.08
101-in-1 Sports Megamix,Nintendo,DS,2010,Sports,Nordcurrent,0.08,0,0,0.01,0.08
Darksiders II,Microsoft,XOne,2015,Action,Nordic Games,0.05,0.03,0,0.01,0.08
We Sing Rock!,Nintendo,Wii,2011,Misc,Nordic Games,0,0.07,0,0.01,0.08
Legend of Kay,Sony,PS4,2015,Action,Nordic Games,0.03,0.03,0,0.01,0.08
Darksiders: Warmastered Edition,Sony,PS4,2016,Action,Nordic Games,0.05,0.02,0,0.01,0.08
Wetrix,Nintendo,N64,1998,Puzzle,Ocean,0.06,0.02,0,0,0.08
Cate West: The Vanishing Files,Nintendo,Wii,2009,Adventure,Oxygen,0.07,0,0,0.01,0.08
My Make-Up,Nintendo,DS,2008,Misc,Oxygen,0.08,0,0,0.01,0.08
My Friends,Nintendo,DS,2009,Misc,Oxygen,0.07,0,0,0.01,0.08
Infernal: Hell's Vengeance,Microsoft,X360,2009,Shooter,Playlogic,0.06,0.01,0,0.01,0.08
Aliens in the Attic,Nintendo,Wii,2009,Action,Playlogic,0.07,0,0,0.01,0.08
Ninjabread Man,Nintendo,Wii,2007,Action,Popcorn,0.07,0,0,0.01,0.08
Senran Kagura: Peach Beach Splash,Sony,PS4,2017,Action,PQube,0,0,0.08,0,0.08
BlazBlue: Chrono Phantasma Extend,Microsoft,XOne,2015,Action,PQube,0.06,0.01,0,0.01,0.08
Guilty Gear XX Accent Core Plus,Sony,PSP,2008,Fighting,PQube,0.03,0.01,0.04,0.01,0.08
Root Letter,Sony,PSV,2016,Adventure,PQube,0,0.04,0.03,0.01,0.08
Krazy Ivan,Sony,PS,1995,Simulation,Psygnosis,0.04,0.03,0,0,0.08
Bomberman Land Touch!,Nintendo,DS,2006,Puzzle,Rising Star,0.04,0,0.04,0,0.08
Shantae and the Pirate's Curse,Nintendo,3DS,2015,Platform,Rising Star,0.03,0,0.04,0,0.08
Samurai Shodown Sen,Microsoft,X360,2009,Fighting,Rising Star,0.07,0.01,0,0.01,0.08
Medabots Dual: Kabuto / Kuwagata,Nintendo,3DS,2013,Role-Playing,Rocket Company,0,0,0.08,0,0.08
Medabots 8,Nintendo,3DS,2014,Role-Playing,Rocket Company,0,0,0.08,0,0.08
Guilty Gear XX Slash,Sony,PS2,2006,Fighting,Sammy,0,0,0.08,0,0.08
Conflict: Desert Storm,Nintendo,GC,2003,Shooter,SCi,0.06,0.02,0,0,0.08
Kenka Banchou 6: Soul & Blood,Nintendo,3DS,2015,Fighting,Screenlife,0,0,0.08,0,0.08
Sega GT Online,Microsoft,XB,2003,Racing,Sega,0.06,0.02,0,0,0.08
Phantasy Star Online Episode III: C.A.R.D. Revolution,Nintendo,GC,2003,Role-Playing,Sega,0.06,0.02,0,0,0.08
Hero Bank,Nintendo,3DS,2014,Role-Playing,Sega,0,0,0.08,0,0.08
Yuu Yuu Hakusho: Makyo Toitsusen,Sega,GEN,1994,Fighting,Sega,0,0,0.08,0,0.08
Dragon Slayer: The Legend of Heroes,Sega,GEN,1994,Role-Playing,Sega,0,0,0.08,0,0.08
Derby Tsuku: Derby Uma o Tsukurou!,Sega,DC,2000,Sports,Sega,0,0,0.08,0,0.08
Godzilla Generations,Sega,DC,1998,Action,Sega,0,0,0.08,0,0.08
Initial D: Extreme Stage,Sony,PS3,2008,Racing,Sega,0,0,0.08,0,0.08
Captain America: Super Soldier,Nintendo,3DS,2011,Action,Sega,0.05,0.03,0,0.01,0.08
Seven Samurai 20XX,Sony,PS2,2004,Action,Sega,0.04,0.03,0,0.01,0.08
Crush,Sony,PSP,2007,Puzzle,Sega,0.07,0,0,0.01,0.08
Super Monkey Ball Adventure,Sony,PSP,2006,Platform,Sega,0.05,0.02,0,0.01,0.08
Alien Syndrome,Sony,PSP,2007,Role-Playing,Sega,0.07,0,0,0.01,0.08
Kamen Rider: Travelers Senki,Nintendo,3DS,2013,Action,Seventh Chord,0,0,0.08,0,0.08
Samurai Shodown III,NeoGeo,NG,1995,Fighting,SNK,0,0,0.08,0,0.08
The King of Fighters '96,Sony,PS,1997,Fighting,SNK,0,0,0.07,0.01,0.08
The King of Fighters '98: Dream Match Never Ends,Sony,PS,1999,Fighting,SNK,0.05,0.03,0,0.01,0.08
Forbidden Siren 2,Sony,PS2,2006,Action,Sony,0,0,0.08,0,0.08
Bleach: Erabareshi Tamashii,Sony,PS2,2005,Adventure,Sony,0,0,0.08,0,0.08
Beat Sketch!,Sony,PS3,2010,Misc,Sony,0,0,0.08,0,0.08
Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen​,Sony,PS3,2007,Adventure,Sony,0,0,0.08,0,0.08
Bleach: Heat the Soul 5,Sony,PSP,2008,Fighting,Sony,0,0,0.08,0,0.08
Bleach: Heat the Soul 4,Sony,PSP,2007,Fighting,Sony,0,0,0.08,0,0.08
Bleach: Heat the Soul 7,Sony,PSP,2010,Fighting,Sony,0,0,0.08,0,0.08
Blades of Blood: Samurai Shodown III,Sony,PS,1995,Fighting,Sony,0.05,0.03,0,0.01,0.08
Final Fantasy VI,Sony,PS,1999,Role-Playing,Sony,0,0,0.08,0.01,0.08
A-Train,Sony,PS,1995,Simulation,Sony,0.02,0.01,0.04,0.01,0.08
Ape Escape: Pumped & Primed,Sony,PS2,2004,Misc,Sony,0.04,0.03,0,0.01,0.08
Stuart Little 3: Big Photo Adventure,Sony,PS2,2005,Platform,Sony,0.04,0.03,0,0.01,0.08
EyeCreate,Sony,PS3,2007,Misc,Sony,0,0.07,0,0.01,0.08
SingStar Apres-Ski Party 2,Sony,PS3,2010,Misc,Sony,0,0.06,0,0.01,0.08
NBA 10: The Inside,Sony,PSP,2009,Sports,Sony,0.07,0,0,0.01,0.08
SingStar: Made In Germany,Sony,PS3,2009,Misc,Sony,0,0.07,0,0.02,0.08
Invizimals: The Alliance,Sony,PSV,2013,Action,Sony,0,0.06,0,0.02,0.08
State of Emergency 2,Sony,PS2,2006,Shooter,SouthPeak,0.04,0.03,0,0.01,0.08
Kenshuui Tendo Dokuta,Nintendo,DS,2004,Simulation,Spike,0,0,0.08,0,0.08
Conception: Please Give Birth to My Child!,Sony,PSP,2012,Role-Playing,Spike,0,0,0.08,0,0.08
Major League Baseball 2K9,Sony,PSP,2009,Sports,Spike,0.08,0,0,0.01,0.08
Orega Kantoku Da! Gekitou Pennant Race,Sony,PS2,2000,Sports,Square,0,0,0.08,0,0.08
Dragon Quest Heroes I & II for Nintendo Switch,Nintendo,NS,2017,Role-Playing,Square,0,0,0.08,0,0.08
SaGa 3: Jikuu no Hasha - Shadow or Light,Nintendo,DS,2011,Role-Playing,Square,0,0,0.08,0,0.08
Nanashi no Game,Nintendo,DS,2008,Adventure,Square,0,0,0.08,0,0.08
Final Fantasy XI: Vana'diel Collection 2008,Sony,PS2,2007,Role-Playing,Square,0.03,0.03,0.01,0.01,0.08
Knights in the Nightmare,Nintendo,DS,2008,Role-Playing,Sting,0.06,0,0.02,0,0.08
Hidden Invasion,Sony,PS2,2001,Shooter,Swing,0.04,0.03,0,0.01,0.08
Naruto Shippuden: Shinobi Rumble,Nintendo,DS,2010,Fighting,Takara,0.03,0,0.05,0,0.08
Katekyoo Hitman Reborn! DS: Flame Rumble Kaien Ring Soudatsuen!,Nintendo,DS,2007,Fighting,Takara,0,0,0.08,0,0.08
Katekyoo Hitman Reborn! DS: Flame Rumble Hyper - Moeyo Mirai,Nintendo,DS,2008,Fighting,Takara,0,0,0.08,0,0.08
Pretty Rhythm Rainbow Live: Kira Kira My * Design,Nintendo,3DS,2013,Misc,Takara,0,0,0.08,0,0.08
Pretty Rhythm: My Deco Rainbow Wedding,Nintendo,3DS,2013,Misc,Takara,0,0,0.08,0,0.08
Penny Racers Party: Turbo-Q Speedway,Nintendo,Wii,2008,Racing,Takara,0.07,0,0,0.01,0.08
Vietcong: Purple Haze,Microsoft,XB,2004,Shooter,Take-Two,0.06,0.02,0,0,0.08
Smuggler's Run: Warzones,Nintendo,GC,2002,Misc,Take-Two,0.06,0.02,0,0,0.08
Monkey Hero,Sony,PS,1998,Action,Take-Two,0.04,0.03,0,0,0.08
NHL 2K7,Microsoft,X360,2006,Sports,Take-Two,0.07,0,0,0.01,0.08
Don King Boxing,Nintendo,DS,2009,Sports,Take-Two,0.06,0.02,0,0.01,0.08
Diego's Build & Rescue,Nintendo,DS,2010,Action,Take-Two,0.07,0,0,0.01,0.08
Major League Baseball 2K12,Nintendo,DS,2012,Sports,Take-Two,0.07,0,0,0.01,0.08
Fatal Frame III: The Tormented,Sony,PS2,2005,Action,Take-Two,0.04,0.03,0,0.01,0.08
"Ni Hao, Kai-lan: Super Game Day",Sony,PS2,2009,Misc,Take-Two,0.04,0.03,0,0.01,0.08
MLB Front Office Manager,Sony,PS3,2009,Sports,Take-Two,0.07,0,0,0.01,0.08
Outlaw Golf,Nintendo,GC,2002,Sports,TDK,0.06,0.02,0,0,0.08
Aibou DS,Nintendo,DS,2009,Adventure,Tecmo Koei,0,0,0.08,0,0.08
FabStyle,Nintendo,DS,2011,Strategy,Tecmo Koei,0,0,0.08,0,0.08
Samurai Warriors Chronicles 3,Nintendo,3DS,2014,Action,Tecmo Koei,0,0,0.08,0,0.08
Nobunaga's Ambition: Rise to Power,Sony,PS2,2004,Strategy,Tecmo Koei,0,0,0.08,0,0.08
Yoru no Nai Kuni,Sony,PSV,2015,Role-Playing,Tecmo Koei,0,0,0.08,0,0.08
Samurai Warriors 2,Microsoft,X360,2006,Action,Tecmo Koei,0.07,0.01,0,0.01,0.08
Warriors Orochi 3 Hyper,Nintendo,WiiU,2012,Action,Tecmo Koei,0.04,0.02,0.02,0.01,0.08
Prey the Stars,Nintendo,DS,2008,Action,Tecmo Koei,0.07,0,0,0.01,0.08
P.T.O. IV: Pacific Theater of Operations,Sony,PS2,2002,Strategy,Tecmo Koei,0.04,0.03,0,0.01,0.08
Ultimate Brain Games,Nintendo,GBA,2003,Misc,Telegames,0.06,0.02,0,0,0.08
Ultimate Card Games DS,Nintendo,DS,2008,Strategy,Telegames,0.07,0,0,0.01,0.08
Wreckin Crew,Sony,PS,1998,Racing,Telstar,0.05,0.03,0,0.01,0.08
SafeCracker: The Ultimate Puzzle Adventure,Nintendo,Wii,2008,Puzzle,The Adventure Company,0.07,0.01,0,0.01,0.08
Evil Dead: Regeneration,Microsoft,XB,2005,Action,THQ,0.06,0.02,0,0,0.08
Scooby-Doo! Unmasked,Microsoft,XB,2005,Platform,THQ,0.06,0.02,0,0,0.08
Dynasty Warriors 3,Microsoft,XB,2002,Action,THQ,0.06,0.02,0,0,0.08
WWE Crush Hour,Nintendo,GC,2003,Racing,THQ,0.06,0.02,0,0,0.08
Shining Force: Resurrection of the Dark Dragon,Nintendo,GBA,2004,Role-Playing,THQ,0.06,0.02,0,0,0.08
Shining Soul II,Nintendo,GBA,2003,Role-Playing,THQ,0.06,0.02,0,0,0.08
Boxing Fever,Nintendo,GBA,2001,Sports,THQ,0.06,0.02,0,0,0.08
GT Advance 3: Pro Concept Racing,Nintendo,GBA,2002,Racing,THQ,0.05,0.02,0,0,0.08
Worms: A Space Oddity,Nintendo,Wii,2008,Strategy,THQ,0.06,0.02,0,0.01,0.08
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Nintendo,Wii,2011,Action,THQ,0.04,0.03,0,0.01,0.08
Are You Smarter Than a 5th Grader? Back to School,Nintendo,DS,2010,Misc,THQ,0.08,0,0,0.01,0.08
Dream Day: Wedding Destinations,Nintendo,DS,2009,Simulation,THQ,0.08,0,0,0.01,0.08
Worms: Open Warfare,Nintendo,DS,2006,Strategy,THQ,0.05,0.02,0,0.01,0.08
Beat City,Nintendo,DS,2010,Misc,THQ,0.07,0,0,0.01,0.08
Destroy All Humans! Path of the Furon,Sony,PS3,2009,Action,THQ,0,0.08,0,0.01,0.08
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Sony,PS3,2011,Action,THQ,0.04,0.03,0,0.01,0.08
Scooby-Doo! Who's Watching Who?,Sony,PSP,2006,Adventure,THQ,0.07,0,0,0.01,0.08
Striker 96,Sony,PS,1995,Sports,Time Warner,0.04,0.03,0,0.01,0.08
Incredible Crisis,Sony,PS,1999,Action,Titus,0.04,0.03,0,0.01,0.08
Zoids: Legacy,Nintendo,GBA,2003,Role-Playing,Tomy,0.06,0.02,0,0,0.08
Blazing Angels: Squadrons of WWII,Microsoft,XB,2006,Simulation,Ubisoft,0.06,0.02,0,0,0.08
The Dukes of Hazzard: Return of the General Lee,Microsoft,XB,2004,Racing,Ubisoft,0.06,0.02,0,0,0.08
Far Cry Instincts Evolution,Microsoft,XB,2006,Shooter,Ubisoft,0.06,0.02,0,0,0.08
Tom Clancy's Splinter Cell: Pandora Tomorrow,Nintendo,GC,2004,Action,Ubisoft,0.06,0.02,0,0,0.08
Evolution Worlds,Nintendo,GC,2002,Role-Playing,Ubisoft,0.06,0.02,0,0,0.08
Ultimate Fighting Championship: Throwdown,Nintendo,GC,2002,Fighting,Ubisoft,0.06,0.02,0,0,0.08
Mind Quiz: Your Brain Coach,Nintendo,DS,2006,Misc,Ubisoft,0,0,0.08,0,0.08
America's Army: True Soldiers,Microsoft,X360,2007,Shooter,Ubisoft,0.08,0,0,0.01,0.08
Just Dance: Disney Party 2,Microsoft,XOne,2015,Action,Ubisoft,0.06,0.01,0,0.01,0.08
TrackMania Turbo,Microsoft,XOne,2016,Action,Ubisoft,0.04,0.04,0,0.01,0.08
Toy Soldiers: War Chest,Microsoft,XOne,2015,Action,Ubisoft,0.07,0,0,0.01,0.08
The $1 Pyramid,Nintendo,Wii,2011,Misc,Ubisoft,0.07,0,0,0.01,0.08
Far Cry Vengeance,Nintendo,Wii,2006,Shooter,Ubisoft,0.06,0.01,0,0.01,0.08
Team Elimination Games,Nintendo,Wii,2009,Misc,Ubisoft,0.07,0,0,0.01,0.08
Cosmic Family,Nintendo,Wii,2007,Misc,Ubisoft,0.07,0,0,0.01,0.08
Miami Nights: Singles in the City,Nintendo,DS,2008,Simulation,Ubisoft,0.08,0,0,0.01,0.08
Midnight Play! Pack,Nintendo,DS,2008,Misc,Ubisoft,0.08,0,0,0.01,0.08
My English Coach: Para Hispanoparlantes,Nintendo,DS,2009,Misc,Ubisoft,0.07,0,0,0.01,0.08
Sports Collection,Nintendo,DS,2010,Sports,Ubisoft,0.06,0.01,0,0.01,0.08
Wordfish,Nintendo,DS,2008,Puzzle,Ubisoft,0.07,0,0,0.01,0.08
Petz Fantasy: Sunshine Magic,Nintendo,DS,2010,Simulation,Ubisoft,0.07,0,0,0.01,0.08
C.O.P.: The Recruit,Nintendo,DS,2009,Action,Ubisoft,0.05,0.02,0,0.01,0.08
Imagine: My Restaurant,Nintendo,DS,2009,Simulation,Ubisoft,0,0.07,0,0.01,0.08
Puzzler Mind Gym 3D,Nintendo,3DS,2011,Puzzle,Ubisoft,0.07,0,0,0.01,0.08
S.C.A.R.S,Sony,PS,1998,Racing,Ubisoft,0.05,0.03,0,0.01,0.08
Disney's Donald Duck: Goin' Quackers,Sony,PS2,2000,Platform,Ubisoft,0.04,0.03,0,0.01,0.08
The Legend of Alon D'ar,Sony,PS2,2001,Role-Playing,Ubisoft,0.04,0.03,0,0.01,0.08
Star Trek Bridge Crew VR,Sony,PS4,2017,Action,Ubisoft,0.02,0.05,0,0.01,0.08
Frantix,Sony,PSP,2005,Puzzle,Ubisoft,0.08,0,0,0.01,0.08
Exit,Sony,PSP,2005,Puzzle,Ubisoft,0.07,0,0,0.01,0.08
Cloudy With a Chance of Meatballs,Sony,PSP,2009,Platform,Ubisoft,0.07,0,0,0.01,0.08
Petz: Dogz Family,Sony,PSP,2009,Simulation,Ubisoft,0.05,0.02,0,0.01,0.08
Rocksmith 2014 Edition Remastered,Sony,PS4,2016,Misc,Ubisoft,0.07,0,0,0.02,0.08
Ski-Doo Snowmobile Challenge,Nintendo,Wii,2009,Racing,Valcon,0.08,0,0,0.01,0.08
Pilot ni Narou! 2,Sony,PS2,2001,Simulation,Victor,0,0,0.08,0,0.08
Strider 2,Sony,PS,2000,Platform,Virgin,0.05,0.03,0,0.01,0.08
Skeleton Warriors,Sony,PS,1996,Platform,Virgin,0.04,0.03,0,0.01,0.08
Battlestar Galactica,Microsoft,XB,2003,Shooter,Vivendi,0.06,0.02,0,0,0.08
Rescue Heroes: Billy Blazes,Nintendo,GBA,2003,Action,Vivendi,0.06,0.02,0,0,0.08
Ice Age 2: The Meltdown,Nintendo,Wii,2006,Platform,Vivendi,0.06,0.01,0,0.01,0.08
The Spiderwick Chronicles,Nintendo,DS,2008,Action,Vivendi,0.07,0,0,0.01,0.08
50 Cent: Bulletproof,Sony,PSP,2006,Action,Vivendi,0.08,0,0,0.01,0.08
Looney Tunes: Acme Arsenal,Microsoft,X360,2007,Action,Warner Bros,0.06,0.01,0,0.01,0.08
The Walking Dead - The Telltale Series: A New Frontier,Microsoft,XOne,2017,Adventure,Warner Bros,0.06,0.01,0,0.01,0.08
Happy Feet Two,Nintendo,Wii,2011,Action,Warner Bros,0.06,0.01,0,0.01,0.08
"Sesame Street: Ready, Set, Grover!",Nintendo,DS,2011,Misc,Warner Bros,0.08,0,0,0.01,0.08
Earth Defense Force 4.1: The Shadow of New Despair,Sony,PS4,2015,Shooter,Xseed,0.04,0.02,0,0.01,0.08
Medal of Honor: Underground,Nintendo,GBA,2002,Shooter,Zoo Digital,0.05,0.02,0,0,0.08
Ultimate Duck Hunting,Nintendo,Wii,2009,Sports,Zoo Digital,0.07,0,0,0.01,0.08
Whac-A-Mole,Nintendo,DS,2005,Puzzle,Zoo Digital,0.07,0,0,0.01,0.08
Build 'n Race,Nintendo,Wii,2009,Racing,Zoo Digital,0.08,0,0,0.01,0.08
Uprising X,Sony,PS,1998,Action,3DO,0.04,0.03,0,0,0.07
Army Men: Green Rogue,Sony,PS,2001,Action,3DO,0.04,0.02,0,0,0.07
Godai: Elemental Force,Sony,PS2,2002,Action,3DO,0.04,0.03,0,0.01,0.07
Heavenly Guardian,Nintendo,Wii,2007,Shooter,505 Games,0.06,0,0,0,0.07
Shin Chan: Las Nuevas Aventuras Para Wii!,Nintendo,Wii,2006,Action,505 Games,0,0,0.07,0,0.07
"Hi! Hamtaro - Little Hamsters,big Adventures: Ham-Ham Challenge",Nintendo,DS,2005,Misc,505 Games,0.07,0,0,0,0.07
Shin Chan Contra ¡Los Plastas!,Nintendo,DS,2009,Platform,505 Games,0,0,0.07,0,0.07
Classic Action: Devilish,Nintendo,DS,2005,Misc,505 Games,0.06,0,0,0,0.07
Deep Labyrinth,Nintendo,DS,2006,Action,505 Games,0.06,0,0,0,0.07
World Party Games,Nintendo,Wii,2009,Misc,505 Games,0.07,0,0,0.01,0.07
Dave Mirra BMX Challenge,Nintendo,Wii,2007,Sports,505 Games,0.06,0,0,0.01,0.07
Picture Perfect Hair Salon,Nintendo,DS,2009,Simulation,505 Games,0.07,0,0,0.01,0.07
Discovery Kids: Parrot Pals,Nintendo,DS,2009,Simulation,505 Games,0.07,0,0,0.01,0.07
Armored Core: Nine Breaker,Sony,PS2,2004,Simulation,505 Games,0.03,0.03,0,0.01,0.07
Top Gun,Sony,PS3,2011,Simulation,505 Games,0.06,0,0,0.01,0.07
Terraria,Sony,PS4,2014,Action,505 Games,0,0.05,0.01,0.01,0.07
Portal Knights,Sony,PS4,2017,Role-Playing,505 Games,0.01,0.03,0.03,0.01,0.07
Assetto Corsa,Sony,PS4,2016,Racing,505 Games,0,0.06,0,0.01,0.07
Stardew Valley,Sony,PS4,2017,Action,505 Games,0.03,0.03,0,0.01,0.07
Lucian Bee's: Justice Yellow / Evil Violet,Sony,PS2,2010,Adventure,5pb,0,0,0.07,0,0.07
All-Star Baseball 2004,Nintendo,GBA,2003,Sports,Acclaim,0.05,0.02,0,0,0.07
Legends of Wrestling II,Nintendo,GBA,2002,Fighting,Acclaim,0.05,0.02,0,0,0.07
Fantastic Four,Sony,PS,1997,Action,Acclaim,0.04,0.03,0,0,0.07
Again,Nintendo,DS,2009,Adventure,Ackkstudios,0.07,0,0,0,0.07
Winning Post 7 2012,Sony,PS3,2012,Sports,Ackkstudios,0,0,0.07,0,0.07
Ken to Mahou to Gakuen Mono. 3,Sony,PS3,2010,Role-Playing,Acquire,0,0,0.07,0,0.07
Pitfall: The Lost Expedition,Microsoft,XB,2004,Platform,Activision,0.05,0.01,0,0,0.07
Kung Fu Panda: Legendary Warriors,Nintendo,Wii,2008,Action,Activision,0.07,0,0,0,0.07
Gladius,Nintendo,GC,2003,Strategy,Activision,0.06,0.01,0,0,0.07
Cabela's Big Game Hunter 2005 Adventures,Nintendo,GC,2004,Sports,Activision,0.05,0.01,0,0,0.07
Pitfall: The Lost Expedition,Nintendo,GBA,2003,Platform,Activision,0.05,0.02,0,0,0.07
X-Men: The Official Game,Nintendo,GBA,2006,Action,Activision,0.05,0.02,0,0,0.07
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Microsoft,XOne,2016,Action,Activision,0.05,0.01,0,0.01,0.07
Ghostbusters (2016),Microsoft,XOne,2016,Action,Activision,0.06,0,0,0.01,0.07
Little League World Series Baseball: Double Play,Nintendo,DS,2010,Sports,Activision,0.07,0,0,0.01,0.07
ZhuZhu Pets: Quest for Zhu,Nintendo,DS,2011,Misc,Activision,0.06,0,0,0.01,0.07
Generator Rex: Agent of Providence,Nintendo,DS,2011,Action,Activision,0.05,0.01,0,0.01,0.07
Cut the Rope,Nintendo,3DS,2014,Puzzle,Activision,0.06,0,0,0.01,0.07
Transformer: Rise of the Dark Spark (3DS),Nintendo,3DS,2014,Role-Playing,Activision,0.05,0.02,0,0.01,0.07
Shrek's Carnival Craze Party Games,Sony,PS2,2008,Misc,Activision,0.03,0.03,0,0.01,0.07
Secret Service: Ultimate Sacrifice,Sony,PS2,2008,Action,Activision,0.03,0.03,0,0.01,0.07
The History Channel: Battle for the Pacific,Sony,PS3,2008,Shooter,Activision,0.07,0,0,0.01,0.07
Blood Drive,Sony,PS3,2010,Racing,Activision,0.07,0,0,0.01,0.07
Generator Rex: Agent of Providence,Sony,PS3,2011,Action,Activision,0.05,0.01,0,0.01,0.07
Call of Duty: Modern Warfare Trilogy,Sony,PS3,2016,Shooter,Activision,0.03,0.02,0,0.01,0.07
Tony Hawk's Pro Skater 5,Sony,PS3,2015,Sports,Activision,0.05,0,0,0.01,0.07
Tokyo Twilight Ghost Hunters,Sony,PS3,2014,Role-Playing,Aksys,0.03,0,0.02,0.01,0.07
Higurashi no Nakukoru ni Kizuna: Dai-Ichi-Kan - Tatari,Nintendo,DS,2008,Adventure,Alchemist,0,0,0.07,0,0.07
Model * Oshare Audition: Dream Girl,Nintendo,3DS,2013,Misc,Alchemist,0,0,0.07,0,0.07
Higurashi no Naku Koro ni Matsuri: Kakera Asobi,Sony,PS2,2007,Adventure,Alchemist,0,0,0.07,0,0.07
Rugby League 3,Nintendo,Wii,2010,Sports,Alternative Software,0,0.06,0,0.01,0.07
Pocky & Rocky with Becky,Nintendo,GBA,2001,Shooter,Altron,0.05,0.02,0,0,0.07
Yoake Yori Ruriiro na: Brighter than Dawning Blue,Sony,PS2,2006,Adventure,Aria,0,0,0.07,0,0.07
Aero Gauge,Nintendo,N64,1997,Racing,ASCII,0.06,0.01,0,0,0.07
Derby Jockey: Kishou e no Michi,Nintendo,SNES,1994,Sports,Asmik Corp,0,0,0.07,0,0.07
futureU: The Prep Game for SAT,Nintendo,DS,2008,Misc,Aspyr,0.06,0,0,0.01,0.07
"Horrid Henry: The Good, The Bad and The Bugly",Nintendo,3DS,2011,Platform,Asylum,0,0.06,0,0.01,0.07
Loons: The Fight For Fame,Microsoft,XB,2002,Action,Atari,0.05,0.02,0,0,0.07
Taz Wanted,Microsoft,XB,2002,Platform,Atari,0.05,0.02,0,0,0.07
Driver: Parallel Lines,Microsoft,XB,2006,Racing,Atari,0.05,0.01,0,0,0.07
Point Blank DS (JP sales),Nintendo,DS,2006,Shooter,Atari,0,0,0.07,0,0.07
N+,Nintendo,DS,2007,Platform,Atari,0.06,0,0,0,0.07
Backyard NFL Football '09,Nintendo,DS,2008,Sports,Atari,0.06,0,0,0.01,0.07
My Horse & Me: Riding for Gold,Nintendo,DS,2008,Sports,Atari,0.05,0.01,0,0.01,0.07
Atari Flashback Classics: Volume 1,Sony,PS4,2016,Misc,Atari,0.05,0,0,0.01,0.07
Ghost in the Shell: Stand Alone Complex,Sony,PSP,2005,Adventure,Atari,0.06,0,0,0.01,0.07
Gambler Densetsu Tetsuya,Sony,PS2,2001,Adventure,Athena,0,0,0.07,0,0.07
River City Ransom EX,Nintendo,GBA,2004,Action,Atlus,0.05,0.02,0,0,0.07
Fallout: Brotherhood of Steel,Sony,PS2,2004,Role-Playing,Avalon Interactive,0.03,0.03,0,0.01,0.07
Wallace & Gromit in Project Zoo,Nintendo,GC,2003,Platform,BAM,0.05,0.01,0,0,0.07
The Powerpuff Girls: Relish Rampage,Nintendo,GC,2002,Action,BAM,0.05,0.01,0,0,0.07
Kenyuu Densetsu Yaiba,Nintendo,SNES,1994,Action,Banpresto,0,0,0.07,0,0.07
Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan!,Nintendo,GBA,2006,Action,Banpresto,0,0,0.07,0,0.07
Summon Night,Nintendo,DS,2008,Role-Playing,Banpresto,0,0,0.07,0,0.07
Super Robot Spirits,Nintendo,N64,1998,Fighting,Banpresto,0,0,0.04,0.03,0.07
Speed Zone,Nintendo,Wii,2009,Racing,Bethesda,0.01,0.05,0,0.01,0.07
Hannspree Ten Kate Honda: SBK Superbike World Championship,Sony,PS2,2007,Racing,Black Bean,0.03,0.03,0,0.01,0.07
Pandemonium 2,Sony,PS,1997,Platform,BMG,0.04,0.02,0,0,0.07
The Tale of Despereaux,Nintendo,DS,2008,Platform,Brash,0.06,0,0,0,0.07
Alvin and the Chipmunks,Sony,PS2,2007,Misc,Brash,0.04,0.03,0,0.01,0.07
Ultimate Marvel vs. Capcom 3,Microsoft,X360,2011,Fighting,Capcom,0,0.03,0.04,0,0.07
Super Ghouls 'n Ghosts,Nintendo,GBA,2002,Platform,Capcom,0.05,0.02,0,0,0.07
Mega Man Xtreme,Nintendo,GB,2000,Platform,Capcom,0,0,0.07,0,0.07
Mega Man Xtreme 2,Nintendo,GB,2001,Platform,Capcom,0,0,0.07,0,0.07
Mega Man Battle Network: Operation Shooting Star,Nintendo,DS,2009,Role-Playing,Capcom,0,0,0.07,0,0.07
