Game,Manufacturer,Platform,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestOfWorld,Global
Dr. Mario,Nintendo,GB,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34
Final Fantasy XIII,Sony,PS3,2009,Role-Playing,Square,1.75,1.21,1.87,0.51,5.34
Minecraft,Sony,PS4,2014,Misc,Sony,1.78,2.47,0.24,0.83,5.32
Pokemon Pinball,Nintendo,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
Final Fantasy IX,Sony,PS,2000,Role-Playing,Square,1.62,0.77,2.78,0.14,5.3
Call of Duty: Advanced Warfare,Microsoft,XOne,2014,Shooter,Activision,3.25,1.55,0.01,0.49,5.29
Final Fantasy X-2,Sony,PS2,2003,Role-Playing,EA,1.92,1.08,2.11,0.17,5.29
Assassin's Creed III,Microsoft,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29
Assassin's Creed II,Microsoft,X360,2009,Action,Ubisoft,3.13,1.55,0.08,0.52,5.28
Donkey Kong 64,Nintendo,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
Tomb Raider II,Sony,PS,1997,Action,Eidos,2.3,2.46,0.2,0.28,5.24
Madden NFL 2004,Sony,PS2,2003,Sports,EA,4.26,0.26,0.01,0.71,5.23
Uncharted: The Nathan Drake Collection,Sony,PS4,2015,Action,Sony,2.29,1.97,0.09,0.86,5.22
Dragon Quest VIII: Journey of the Cursed King,Sony,PS2,2004,Role-Playing,Square,0.65,0.75,3.61,0.2,5.21
Super Mario Bros. 3,Nintendo,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
Super Mario Land 3: Wario Land,Nintendo,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
Professor Layton and the Curious Village,Nintendo,DS,2007,Puzzle,Nintendo,1.21,2.44,1.03,0.52,5.19
FIFA Soccer 13,Microsoft,X360,2012,Action,EA,1.1,3.47,0.03,0.58,5.17
Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
Medal of Honor: Rising Sun,Sony,PS2,2003,Shooter,EA,1.98,2.23,0.13,0.8,5.13
Kirby's Dream Land,Nintendo,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
Guitar Hero II,Sony,PS2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12
Fable III,Microsoft,X360,2010,Role-Playing,Microsoft,3.59,1.08,0.05,0.38,5.1
Mario & Sonic at the Olympic Games,Nintendo,DS,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.1
Resident Evil 5,Sony,PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09
The Legend of Zelda: Phantom Hourglass,Nintendo,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08
FIFA Soccer 11,Sony,PS3,2010,Sports,EA,0.61,3.28,0.06,1.12,5.07
Super Mario Bros.,Nintendo,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
Super Smash Bros. for Wii U and 3DS,Nintendo,WiiU,2014,Fighting,Nintendo,2.68,1.13,0.85,0.39,5.05
Resident Evil,Sony,PS,1996,Action,Virgin,2.05,1.16,1.11,0.73,5.05
Grand Theft Auto: Vice City Stories,Sony,PSP,2006,Action,Take-Two,1.7,1.99,0.16,1.19,5.03
Tony Hawk's Pro Skater,Sony,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
Warzone 2100,Sony,PS,1999,Strategy,Eidos,2.79,1.89,0,0.33,5.01
Spyro the Dragon,Sony,PS,1998,Platform,Sony,3.36,1.36,0.07,0.21,5
Guitar Hero III: Legends of Rock,Sony,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98
Link's Crossbow Training,Nintendo,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98
Fallout 3,Microsoft,X360,2008,Role-Playing,Bethesda,3.41,0.99,0.09,0.45,4.94
The Legend of Zelda: Ocarina of Time,Nintendo,3DS,2011,Action,Nintendo,2.32,1.61,0.65,0.35,4.93
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Nintendo,DS,2007,Role-Playing,Nintendo,1.83,1.19,1.54,0.37,4.93
Uncharted: Drake's Fortune,Sony,PS3,2007,Action,Sony,2.32,1.72,0.12,0.77,4.93
Madden NFL 06,Sony,PS2,2005,Sports,EA,3.98,0.26,0.01,0.66,4.91
Battlefield 1,Microsoft,XOne,2016,Shooter,EA,3.09,1.33,0.02,0.45,4.89
Diddy Kong Racing,Nintendo,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
Monster Hunter Freedom 3,Sony,PSP,2010,Role-Playing,Capcom,0,0,4.87,0,4.87
Halo 5: Guardians,Microsoft,XOne,2015,Shooter,Microsoft,2.96,1.4,0.03,0.44,4.85
Dr. Mario,Nintendo,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
Final Fantasy XV,Sony,PS4,2016,Role-Playing,Square,1.48,1.73,1,0.63,4.84
Luigi's Mansion: Dark Moon,Nintendo,3DS,2013,Action,Nintendo,1.9,1.46,1.15,0.31,4.82
Assassin's Creed,Sony,PS3,2007,Adventure,Ubisoft,1.91,2,0.09,0.82,4.82
God of War III,Sony,PS3,2010,Action,Sony,2.74,1.34,0.12,0.61,4.81
Super Mario 3D World,Nintendo,WiiU,2013,Platform,Nintendo,2.27,1.4,0.76,0.36,4.8
Crash Team Racing,Sony,PS,1999,Racing,Sony,2.57,1.57,0.44,0.21,4.79
LEGO Star Wars: The Complete Saga,Nintendo,DS,2007,Action,LucasArts,2.83,1.48,0,0.45,4.76
Driver 2,Sony,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73
Batman: Arkham City,Microsoft,X360,2011,Action,Warner Bros,2.99,1.27,0.04,0.42,4.73
Splatoon,Nintendo,WiiU,2015,Shooter,Nintendo,1.58,1.31,1.55,0.27,4.71
The Simpsons: Hit & Run,Sony,PS2,2003,Racing,Vivendi,1.73,2.19,0,0.79,4.7
Tony Hawk's Pro Skater 2,Sony,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
The Lord of the Rings: The Two Towers,Sony,PS2,2002,Action,EA,1.94,1.95,0.08,0.7,4.67
Tomb Raider,Sony,PS,1996,Action,Eidos,2.29,1.97,0.13,0.24,4.63
Animal Crossing: City Folk,Nintendo,Wii,2008,Simulation,Nintendo,1.83,1.12,1.32,0.36,4.63
Fallout 4,Microsoft,XOne,2015,Role-Playing,Bethesda,2.73,1.45,0.02,0.42,4.61
The Legend of Zelda: A Link to the Past,Nintendo,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
Call of Duty: Infinite Warfare,Microsoft,XOne,2016,Shooter,Activision,2.79,1.39,0,0.42,4.6
Guitar Hero III: Legends of Rock,Nintendo,Wii,2007,Misc,Activision,3.04,1.12,0,0.43,4.6
The Legend of Zelda: The Wind Waker,Nintendo,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
Forza Motorsport 4,Microsoft,X360,2011,Racing,Microsoft,2.08,1.97,0.06,0.46,4.57
The Witcher 3: Wild Hunt,Sony,PS4,2015,Role-Playing,Namco Bandai,1.17,2.45,0.27,0.68,4.57
Guitar Hero III: Legends of Rock,Microsoft,X360,2007,Misc,Activision,3.19,0.91,0.01,0.42,4.53
Madden NFL 2005,Sony,PS2,2004,Sports,EA,4.18,0.26,0.01,0.08,4.53
Mario & Sonic at the Olympic Winter Games,Nintendo,Wii,2009,Sports,Sega,1.87,1.96,0.22,0.48,4.53
Nintendo Land,Nintendo,WiiU,2012,Misc,Nintendo,2.52,1.16,0.49,0.34,4.5
Madden NFL 07,Sony,PS2,2006,Sports,EA,3.63,0.24,0.01,0.61,4.49
Spider-Man: The Movie,Sony,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48
Dragon Quest VII: Warriors of Eden,Sony,PS,2000,Role-Playing,Square,0.2,0.14,4.1,0.02,4.47
God of War,Sony,PS2,2005,Action,Sony,2.71,1.29,0.02,0.43,4.45
The Elder Scrolls IV: Oblivion,Microsoft,X360,2006,Role-Playing,Take-Two,2.85,1.03,0.13,0.4,4.42
Tony Hawk's Pro Skater 3,Sony,PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41
Call of Duty: Advanced Warfare,Sony,PS3,2014,Shooter,Activision,1.58,1.93,0.2,0.69,4.4
Tom Clancy's The Division,Sony,PS4,2016,Shooter,Ubisoft,1.44,2.11,0.16,0.69,4.4
Winning Eleven: Pro Evolution Soccer 2007,Sony,PS2,2006,Sports,Konami,0.1,2.39,1.05,0.86,4.39
Zelda II: The Adventure of Link,Nintendo,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
Need for Speed: Most Wanted,Sony,PS2,2005,Racing,EA,2.03,1.79,0.08,0.47,4.37
Michael Jackson: The Experience,Nintendo,Wii,2010,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36
Call of Duty: Advanced Warfare,Microsoft,X360,2014,Shooter,Activision,2.8,1.14,0,0.41,4.35
Resistance: Fall of Man,Sony,PS3,2006,Shooter,Sony,1.74,1.72,0.14,0.75,4.35
Sonic the Hedgehog,Sega,GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34
Kingdom Hearts II,Sony,PS2,2005,Role-Playing,Square,2.2,0.58,1.38,0.17,4.33
FIFA 15,Sony,PS3,2014,Sports,EA,0.59,3.02,0.04,0.64,4.29
Fable II,Microsoft,X360,2008,Role-Playing,Microsoft,2.51,1.24,0.11,0.41,4.27
Batman: Arkham Asylum,Sony,PS3,2009,Action,Eidos,2.25,1.31,0.07,0.62,4.25
Namco Museum,Nintendo,GBA,2001,Misc,Namco Bandai,3,1.11,0.05,0.07,4.24
FIFA 14,Microsoft,X360,2013,Sports,EA,0.93,2.89,0.01,0.4,4.23
Metal Gear Solid 3: Snake Eater,Sony,PS2,2004,Action,Konami,1.46,0,0.83,1.93,4.23
Batman: Arkham Knight,Sony,PS4,2015,Action,Warner Bros,1.65,1.79,0.11,0.68,4.23
Assassin's Creed: Revelations,Sony,PS3,2011,Action,Ubisoft,1.41,2.01,0.1,0.7,4.22
FIFA Soccer 06,Sony,PS2,2005,Sports,EA,0.78,2.55,0.04,0.84,4.21
Daxter,Sony,PSP,2006,Platform,Sony,2.45,1.01,0,0.75,4.21
Assassin's Creed: Revelations,Microsoft,X360,2011,Action,Ubisoft,2.26,1.47,0.04,0.44,4.21
EyeToy Play,Sony,PS2,2003,Misc,Sony,0.88,2.3,0.2,0.83,4.2
Star Wars Battlefront (2015),Microsoft,XOne,2015,Shooter,EA,2.45,1.34,0.02,0.38,4.19
Gran Turismo 5 Prologue,Sony,PS3,2007,Racing,Sony,1.28,1.82,0.57,0.52,4.19
Street Fighter IV,Sony,PS3,2009,Fighting,Capcom,2.04,1.04,0.59,0.52,4.18
